"","ID","STIK_1","STIK_2","STIK_3","STIK_4","STIK_5","STIK_6","STIK_7","STIK_8","STIK_9","STIK_10","STIK_11","STIK_12","STIK_13","STIK_14","STIK_15","STIK_16","STIK_17","STIK_18","STIK_19","Stigma_Shame_1","Stigma_Shame_2","Stigma_Shame_3","Stigma_Shame_4","Stigma_Shame_5","Stigma_Shame_6","Stigma_Shame_7","Stigma_Shame_8","Stigma_Shame_9","Stigma_Shame_10","Stigma_Shame_11","Stigma_Shame_12","Stigma_Shame_13","Stigma_Shame_14","SSE_1","SSE_2","SSE_3","SSE_4","SSE_5","SSE_6","Comfort_1","Comfort_2","Comfort_3","Comfort_4","Comfort_5","Comfort_6","Comfort_7","Comfort_8","Comfort_9","SexGuilt_1","SexGuilt_2","SexGuilt_3","SexGuilt_4","SexGuilt_5","SexGuilt_6","SexGuilt_7","SexGuilt_8","SexGuilt_9","SexGuilt_10","STI_ShameInter","STI_StigmaInter","SSE_ScaleInter","Comfort_ScaleInter","SexGuilt_1R","SexGuilt_2R","SexGuilt_6R","SexGuilt_8R","SexGuilt_10R","Guilt_ScaleInter"
"41","61533356ce435e5a4a4addd0",2,3,1,1,3,3,2,1,1,2,2,3,2,2,3,3,1,2,2,3,3,3,3,3,3,2,3,2,2,2,2,3,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,2,2,3,2,4,2,3,2.85714285714286,2.28571428571429,4,3.77777777777778,2,2,2,1,2,2.3
"42","5eab1f263437620e2c6909eb",2,2,2,1,1,1,2,2,1,3,2,1,2,1,1,1,2,2,2,2,4,2,2,3,3,3,1,2,2,3,2,2,2,4,4,3,4,4,4,3,3,3,3,3,3,3,2,3,3,4,2,2,3,3,2,4,2,4,2.71428571428571,2,3.83333333333333,2.88888888888889,2,1,2,1,1,2.1
"43","5e230bbadbc6705c1ec805c7",1,2,2,1,1,1,2,1,1,1,2,3,2,1,1,3,2,2,2,3,3,3,3,4,3,3,3,2,2,2,3,3,2,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,2,2,4,3,3,2,2,3,3,3.14285714285714,2.42857142857143,4,3.33333333333333,2,3,2,3,2,2.5
"44","5e682f7b30914f0ed798df97",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,3,1,1,2,1,1,3,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,4,1,4,1,4,1.42857142857143,1.42857142857143,4,4,1,1,1,1,1,1.5
"45","611835b51da9e47cd01c3b03",2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,1,1,3,3,3,3,1,4,1.28571428571429,1,4,3.55555555555556,2,1,2,2,1,1.8
"46","62e96d3ba52c46dd1a2af27f",1,2,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,3,3,3,3,3,4,3,2,3,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,3,3,4,2,3,2,3,3.14285714285714,2.57142857142857,4,3.66666666666667,2,2,1,2,2,2.2
"47","631797b16c44e201ca651911",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,3,2,2,3,1,3,2,2,3,2,2,2,1,2,2,1,3,2,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4,3,2,1,2,3,2,3,2,4,2.14285714285714,1.85714285714286,4,3.44444444444444,1,2,2,2,1,1.8
"48","5be5a1fc41c95d0001b1ddcf",2,2,2,1,3,1,2,1,1,1,2,1,2,1,2,3,2,2,2,1,3,3,1,1,3,1,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,4,2,3,2,4,1.85714285714286,1.14285714285714,4,4,2,1,1,2,1,1.8
"49","616c8c6c8a2b0bd84d21d629",1,2,3,1,1,1,2,2,1,1,3,3,2,1,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,3,2,3,2,3,3,2,3,3,2,3,3,2,2,3,2,1,2,2,2,1,3,2,2,2,3,1.85714285714286,2.66666666666667,2.55555555555556,3,4,4,3,3,2.7
"50","60815de360f218f8b6164656",2,2,3,1,3,1,2,1,1,3,2,1,2,1,1,3,2,2,3,2,4,3,2,3,3,2,1,2,1,1,2,3,1,3,4,4,4,3,4,3,4,3,3,3,3,4,3,3,3,4,3,1,1,4,2,4,1,4,2.71428571428571,1.57142857142857,3.66666666666667,3.22222222222222,2,1,1,1,1,1.7
